Uniclass Product Name,Uniclass Product Code,Uniclass System Name,Uniclass System Code,IFC Object,Property Set/Defined by,Attribute Name / IfcProperty,COBie Mapping,Template Type,Primary Measure Type,Defined Data,,Discipline,Data Template Within Model,Stage Required,Register of Assets,Support for Business Questions,Support for Compliance and Regulatory Responsibilities,Management of Capacity and Utilization,Support for Repurposing,Predicted and Actual Impacts,Operations,Maintenance and Repair,Replacement
Eye bolts,Pr_20_29_08_27,Static permanent access and safety equipment systems,Ss_40_30_85,IfcDiscreteAccessoryType,,<IfcObject>Type.Description,COBieTypeDescription,p_singlevalue,IfcText,,,HVAC,Stage 3,Stage 3,x,x,x,x,x,x,x,x,x
Eye bolts,Pr_20_29_08_27,Static permanent access and safety equipment systems,Ss_40_30_85,IfcDiscreteAccessoryType,,<IfcObject>Type.Name,COBieTypeName,p_singlevalue,IfcLabel,,,HVAC,Stage 3,Stage 3,x,x,x,x,x,x,x,x,x
Eye bolts,Pr_20_29_08_27,Static permanent access and safety equipment systems,Ss_40_30_85,IfcDiscreteAccessoryType,,<IfcObject>.Description,COBieComponentDescription,p_singlevalue,IfcText,,,HVAC,Stage 3,Stage 3,x,x,x,x,x,x,x,x,x
Eye bolts,Pr_20_29_08_27,Static permanent access and safety equipment systems,Ss_40_30_85,IfcDiscreteAccessoryType,,<IfcObject>.name,COBieComponentName,p_singlevalue,IfcLabel,,,HVAC,Stage 3,Stage 3,x,x,x,x,x,x,x,x,x
Eye bolts,Pr_20_29_08_27,Static permanent access and safety equipment systems,Ss_40_30_85,IfcDiscreteAccessoryType,,PredefinedType,,p_enumeratedvalue,IfcDiscreteAccessoryTypeEnum,userdefined,,HVAC,Stage 3,Stage 3,x,x,x,x,x,x,x,x,x
Eye bolts,Pr_20_29_08_27,Static permanent access and safety equipment systems,Ss_40_30_85,IfcDiscreteAccessoryType,Pset_ManufacturerTypeInformation,InformationManufacturer,COBieTypeManufacturer,p_singlevalue,IfcLabel,,,HVAC,Stage 3,Stage 4,x,x,x,x,x,x,x,x,x
Barrier rails,Pr_20_85_07,Static permanent access and safety equipment systems,Ss_40_30_85,IfcRailing,,<IfcObject>Type.Description,COBieTypeDescription,p_singlevalue,IfcText,,,Architectural,Stage 3,Stage 3,x,x,x,x,x,x,x,x,x
Barrier rails,Pr_20_85_07,Static permanent access and safety equipment systems,Ss_40_30_85,IfcRailing,,<IfcObject>Type.Name,COBieTypeName,p_singlevalue,IfcLabel,,,Architectural,Stage 3,Stage 3,x,x,x,x,x,x,x,x,x
Barrier rails,Pr_20_85_07,Static permanent access and safety equipment systems,Ss_40_30_85,IfcRailing,,<IfcObject>.Description,COBieComponentDescription,p_singlevalue,IfcText,,,Architectural,Stage 3,Stage 3,x,x,x,x,x,x,x,x,x
Barrier rails,Pr_20_85_07,Static permanent access and safety equipment systems,Ss_40_30_85,IfcRailing,,<IfcObject>.name,COBieComponentName,p_singlevalue,IfcLabel,,,Architectural,Stage 3,Stage 3,x,x,x,x,x,x,x,x,x
Barrier rails,Pr_20_85_07,Static permanent access and safety equipment systems,Ss_40_30_85,IfcRailing,,PredefinedType,,p_enumeratedvalue,IfcRailingTypeEnum,BALUSTRADE,,Architectural,Stage 2,Stage 2,x,x,x,x,x,x,x,x,x
Barrier rails,Pr_20_85_07,Static permanent access and safety equipment systems,Ss_40_30_85,IfcRailing,Pset_ManufacturerTypeInformation,InformationManufacturer,COBieTypeManufacturer,p_singlevalue,IfcLabel,,,Architectural,Stage 2,Stage 4,x,x,x,x,x,x,x,x,x
Barrier rails,Pr_20_85_07,Static permanent access and safety equipment systems,Ss_40_30_85,IfcRailing,Pset_RailingCommon,Height,,p_singlevalue,IfcPositiveLengthMeasure,,,Architectural,Stage 2,Stage 3,,,x,,,,,,
Barrier rails,Pr_20_85_07,Static permanent access and safety equipment systems,Ss_40_30_85,IfcRailing,Pset_RailingCommon,IsExternal,,p_singlevalue,IfcBoolean,FALSE,,Architectural,Stage 2,Stage 2,,,x,,,,,,
Platforms,Pr_20_85_65,Static permanent access and safety equipment systems,Ss_40_30_85,IfcBuildingElementProxy,,<IfcObject>Type.Description,COBieTypeDescription,p_singlevalue,IfcText,,,TBC,Stage 3,Stage 3,x,x,x,x,x,x,x,x,x
Platforms,Pr_20_85_65,Static permanent access and safety equipment systems,Ss_40_30_85,IfcBuildingElementProxy,,<IfcObject>Type.Name,COBieTypeName,p_singlevalue,IfcLabel,,,TBC,Stage 3,Stage 3,x,x,x,x,x,x,x,x,x
Platforms,Pr_20_85_65,Static permanent access and safety equipment systems,Ss_40_30_85,IfcBuildingElementProxy,,<IfcObject>.Description,COBieComponentDescription,p_singlevalue,IfcText,,,TBC,Stage 3,Stage 3,x,x,x,x,x,x,x,x,x
Platforms,Pr_20_85_65,Static permanent access and safety equipment systems,Ss_40_30_85,IfcBuildingElementProxy,,<IfcObject>.name,COBieComponentName,p_singlevalue,IfcLabel,,,TBC,Stage 3,Stage 3,x,x,x,x,x,x,x,x,x
Platforms,Pr_20_85_65,Static permanent access and safety equipment systems,Ss_40_30_85,IfcBuildingElementProxy,,PredefinedType,,p_enumeratedvalue,IfcBuildingElementProxyTypeEnum,,,TBC,Stage 3,Stage 3,x,x,x,x,x,x,x,x,x
Platforms,Pr_20_85_65,Static permanent access and safety equipment systems,Ss_40_30_85,IfcBuildingElementProxy,Pset_ManufacturerTypeInformation,InformationManufacturer,COBieTypeManufacturer,p_singlevalue,IfcLabel,,,TBC,Stage 3,Stage 4,x,x,x,x,x,x,x,x,x
Platforms,Pr_20_85_65,Static permanent access and safety equipment systems,Ss_40_30_85,IfcBuildingElementProxy,,PredefinedType,,p_enumeratedvalue,IfcBuildingElementProxyTypeEnum,,,TBC,Stage 3,Stage 3,x,x,x,x,x,x,x,x,x
Access ladders,Pr_25_30_85_02,Static permanent access and safety equipment systems,Ss_40_30_85,IfcBuildingElementProxy,,<IfcObject>Type.Description,COBieTypeDescription,p_singlevalue,IfcText,,,TBC,Stage 3,Stage 3,x,x,x,x,x,x,x,x,x
Access ladders,Pr_25_30_85_02,Static permanent access and safety equipment systems,Ss_40_30_85,IfcBuildingElementProxy,,<IfcObject>Type.Name,COBieTypeName,p_singlevalue,IfcLabel,,,TBC,Stage 3,Stage 3,x,x,x,x,x,x,x,x,x
Access ladders,Pr_25_30_85_02,Static permanent access and safety equipment systems,Ss_40_30_85,IfcBuildingElementProxy,,<IfcObject>.Description,COBieComponentDescription,p_singlevalue,IfcText,,,TBC,Stage 3,Stage 3,x,x,x,x,x,x,x,x,x
Access ladders,Pr_25_30_85_02,Static permanent access and safety equipment systems,Ss_40_30_85,IfcBuildingElementProxy,,<IfcObject>.name,COBieComponentName,p_singlevalue,IfcLabel,,,TBC,Stage 3,Stage 3,x,x,x,x,x,x,x,x,x
Access ladders,Pr_25_30_85_02,Static permanent access and safety equipment systems,Ss_40_30_85,IfcBuildingElementProxy,,PredefinedType,,p_enumeratedvalue,IfcBuildingElementProxyTypeEnum,,,TBC,Stage 3,Stage 3,x,x,x,x,x,x,x,x,x
Access ladders,Pr_25_30_85_02,Static permanent access and safety equipment systems,Ss_40_30_85,IfcBuildingElementProxy,Pset_ManufacturerTypeInformation,InformationManufacturer,COBieTypeManufacturer,p_singlevalue,IfcLabel,,,TBC,Stage 3,Stage 4,x,x,x,x,x,x,x,x,x
Access ladders,Pr_25_30_85_02,Static permanent access and safety equipment systems,Ss_40_30_85,IfcBuildingElementProxy,,PredefinedType,,p_enumeratedvalue,IfcBuildingElementProxyTypeEnum,,,TBC,Stage 3,Stage 3,x,x,x,x,x,x,x,x,x
Cladding and lining panels (lightweight cladding and roofing panels),Pr_25_71_14,Wall cladding systems,Ss_25_20,IfcCovering,,<IfcObject>Type.Description,COBieTypeDescription,p_singlevalue,IfcText,,,Architectural,Stage 2,Stage 2,x,x,x,x,x,x,x,x,x
